iter	RMSE
0	0.2980750972
1	0.2901531534
2	0.2839538961
3	0.2781013577
4	0.2726177817
5	0.2678010296
6	0.2628795568
7	0.2583533538
8	0.2551024633
9	0.2499304132
10	0.2442133277
11	0.2402933089
12	0.2353259525
13	0.2338044494
14	0.2306192331
15	0.2279104579
16	0.225406964
17	0.2239435552
18	0.2205327786
19	0.2179828482
20	0.2153679022
21	0.213756468
22	0.2113283604
23	0.2099628363
24	0.2087297577
25	0.2067515698
26	0.2056853535
27	0.205445507
28	0.2039829368
29	0.2020519868
30	0.2007782099
31	0.2005144826
32	0.2000910471
33	0.1998867043
34	0.1975838092
35	0.1975054955
36	0.1968700857
37	0.196211106
38	0.1954903844
39	0.1954473135
40	0.1939975797
41	0.1928403681
42	0.1921954963
43	0.1909889201
44	0.1904583657
45	0.1898484925
46	0.1897992886
47	0.1885547891
48	0.1875353741
49	0.1864856382
50	0.1855478432
51	0.1851362345
52	0.1848478312
53	0.1848424575
54	0.1841203919
55	0.184090147
56	0.1840868652
57	0.1838003686
58	0.1829939995
59	0.182637831
60	0.1819866595
61	0.1818949522
62	0.1813026139
63	0.180666722
64	0.1801693949
65	0.179975067
66	0.17973134
67	0.17950565
68	0.1788118576
69	0.1781144491
70	0.1779575852
71	0.1778092853
72	0.1774320736
73	0.1769629262
74	0.176804948
75	0.1766082239
76	0.1764869595
77	0.1763120875
78	0.1759868938
79	0.1756657045
80	0.1753699286
81	0.1750964405
82	0.1749720583
83	0.1747191275
84	0.1746094984
85	0.1745132313
86	0.1743018628
87	0.174210461
88	0.1741253805
89	0.1735725148
90	0.1734927502
91	0.1734184211
92	0.1732532952
93	0.1731867401
94	0.1730396338
95	0.1728479977
96	0.1727165743
97	0.1726616057
98	0.1725376049
99	0.1720664171
100	0.1720162065
101	0.1715912054
102	0.1712082369
103	0.1711603502
104	0.1711157521
105	0.1709335683
106	0.1708826048
107	0.1708359672
108	0.1707579678
109	0.1707225669
110	0.1703775316
111	0.1702091173
112	0.1701433828
113	0.1698320027
114	0.1698073301
115	0.169515996
116	0.1694517903
117	0.1693933413
118	0.1692357506
119	0.1690891511
120	0.1688259641
121	0.1687993989
122	0.1687746838
123	0.1687516706
124	0.1687302251
125	0.1686821034
126	0.1684461753
127	0.1683064734
128	0.1682733651
129	0.1681439346
130	0.1681301375
131	0.1680886163
132	0.1680762831
133	0.1680635358
134	0.1677264936
135	0.1676115784
136	0.167600462
137	0.1675836854
138	0.1672374466
139	0.1672208369
140	0.1672057969
141	0.1671959437
142	0.1671867229
143	0.167173517
144	0.166851209
145	0.1668381294
146	0.1665902387
147	0.1665774582
148	0.1664833097
149	0.1664751148
150	0.1664638646
151	0.1664564497
152	0.1662261977
153	0.1662154334
154	0.1662083548
155	0.1659942322
156	0.1659637708
157	0.1659361802
158	0.1658975388
159	0.1658247647
160	0.1658013751
161	0.1657604
162	0.1657231778
163	0.1657124761
164	0.1657085081
165	0.1656996963
166	0.1656907401
167	0.1656099252
168	0.1653922983
169	0.1653803675
170	0.1653556325
171	0.1653327646
172	0.1652584404
173	0.1651892507
174	0.1651809721
175	0.1651772697
176	0.1651563532
177	0.1649611738
178	0.1648998173
179	0.1648426617
180	0.1647893827
181	0.1647803388
182	0.1647733284
183	0.1647508363
184	0.1647008926
185	0.1646987577
186	0.1646929085
187	0.1645192211
188	0.1644993879
189	0.1643376158
190	0.164320302
191	0.1641694944
192	0.1640282731
193	0.1639734282
194	0.1639304476
195	0.1637998537
196	0.1637842564
197	0.1637365649
198	0.1637190272
199	0.1637024072
200	0.1636636143
201	0.163622107
202	0.1636205572
203	0.1636191094
204	0.1636076007
205	0.1634859593
206	0.1634820751
207	0.1634719421
208	0.1634707701
209	0.1633647587
210	0.1633277502
211	0.1633192698
212	0.1632857215
213	0.1632548206
214	0.1632481796
215	0.1631379713
216	0.163035253
217	0.1629421462
218	0.1629361726
219	0.1628457344
220	0.1628174872
221	0.1627354086
222	0.1627103349
223	0.1626847449
224	0.1626094275
225	0.1625974616
226	0.162568275
227	0.1625432754
228	0.1625109746
229	0.162482059
230	0.1624541811
231	0.1623869369
232	0.1623694549
233	0.1623533975
234	0.1623049608
235	0.1622437137
236	0.1622297378
237	0.162224254
238	0.1621828451
239	0.1621613416
240	0.162123987
241	0.1620900157
242	0.1620703602
243	0.1620395242
244	0.1620281407
245	0.162009321
246	0.1619917855
247	0.1619754383
248	0.1619260314
249	0.1619152429
250	0.1618998183
251	0.161855011
252	0.1618493187
253	0.1618346158
254	0.1618202456
255	0.1618141238
256	0.1618049547
257	0.1618005248
258	0.1617966513
259	0.1617941015
260	0.1617814543
261	0.1617804472
262	0.1617667341
263	0.1617640927
264	0.1617511984
265	0.1617391593
266	0.161736927
267	0.1617359163
268	0.1617247912
269	0.1617145012
270	0.1617117049
271	0.1617108352
272	0.1617000013
273	0.1616903043
274	0.1616786253
275	0.1616656331
276	0.1616649383
277	0.1616545249
278	0.1616541019
279	0.1616537178
280	0.161640542
281	0.1616388788
282	0.1616288094
283	0.1616201969
284	0.1616094526
285	0.161598583
286	0.1615905858
287	0.161557388
288	0.1615472121
289	0.161517284
290	0.1614893419
291	0.1614878038
292	0.1614787661
293	0.1614699113
294	0.1614640493
295	0.1614634648
296	0.1614576882
297	0.1614486515
298	0.1614479314
299	0.1614471021
300	0.1614212601
301	0.1614130529
302	0.1614053815
303	0.1613826652
304	0.1613756859
305	0.1613709004
306	0.1613500514
307	0.1613305693
308	0.1613107755
309	0.1612935496
310	0.1612876328
311	0.1612821086
312	0.1612662253
313	0.1612636395
314	0.1612472261
315	0.1612462206
316	0.161232149
317	0.1612274658
318	0.1612143799
319	0.1612064071
320	0.1611930266
321	0.1611922288
322	0.1611796626
323	0.1611745116
324	0.1611638995
325	0.1611611462
326	0.1611574977
327	0.16115535
328	0.1611538809
329	0.1611514701
330	0.1611419779
331	0.1611355592
332	0.1611311989
333	0.1611283292
334	0.1611189028
335	0.161115308
336	0.161106534
337	0.1611030524
338	0.1610948433
339	0.1610871396
340	0.1610848175
341	0.1610829622
342	0.1610757929
343	0.16107274
344	0.1610660577
345	0.161059781
346	0.1610570585
347	0.161055129
348	0.1610521384
349	0.1610460291
350	0.1610437405
351	0.1610390732
352	0.1610338384
353	0.1610317704
354	0.1610293969
355	0.1610279114
356	0.1610267345
357	0.1610250893
358	0.1610245747
359	0.1610231852
360	0.1610227296
361	0.1610220594
362	0.1610201796
363	0.1610183676
364	0.1610174222
365	0.1610170474
366	0.1610165612
