iter	Passed	Remaining
0	57	57669
1	57	28897
2	58	19279
3	58	14490
4	58	11605
5	58	9691
6	58	8322
7	58	7295
8	58	6492
9	59	5854
10	59	5330
11	59	4890
12	59	4518
13	59	4199
14	59	3922
15	59	3679
16	60	3470
17	60	3284
18	60	3117
19	60	2967
20	60	2830
21	60	2705
22	60	2590
23	61	2484
24	61	2388
25	61	2298
26	61	2215
27	61	2140
28	61	2070
29	61	2003
30	62	1940
31	62	1881
32	62	1826
33	62	1786
34	63	1737
35	63	1689
36	63	1645
37	63	1604
38	63	1564
39	63	1525
40	63	1490
41	63	1456
42	63	1423
43	64	1392
44	64	1363
45	64	1335
46	64	1307
47	64	1281
48	64	1256
49	64	1232
50	64	1208
51	65	1186
52	65	1164
53	65	1142
54	65	1122
55	65	1102
56	65	1082
57	65	1064
58	65	1047
59	65	1031
60	65	1014
61	66	999
62	66	983
63	66	968
64	66	954
65	66	940
66	66	927
67	66	914
68	66	901
69	66	889
70	67	877
71	67	865
72	67	853
73	67	842
74	67	832
75	67	821
76	67	811
77	67	800
78	67	791
79	67	781
80	68	772
81	68	763
82	68	754
83	68	745
84	68	737
85	68	728
86	68	720
87	68	712
88	68	704
89	69	697
90	69	690
91	69	683
92	69	676
93	69	670
94	69	663
95	69	657
96	69	650
97	70	644
98	70	638
99	70	632
100	70	626
101	70	620
102	70	615
103	70	609
104	70	603
105	70	598
106	71	593
107	71	587
108	71	582
109	71	577
110	71	572
111	71	567
112	71	562
113	71	558
114	71	553
115	72	548
116	72	544
117	72	540
118	72	535
119	72	531
120	72	527
121	72	523
122	72	518
123	72	514
124	72	510
125	73	507
126	73	503
127	73	499
128	73	495
129	73	491
130	73	488
131	73	484
132	73	481
133	73	477
134	73	474
135	74	470
136	74	467
137	74	463
138	74	460
139	74	457
140	74	454
141	74	451
142	74	447
143	74	444
144	74	441
145	75	438
146	75	435
147	75	432
148	75	430
149	75	427
150	75	424
151	75	421
152	75	418
153	75	416
154	75	413
155	75	410
156	76	408
157	76	405
158	76	403
159	76	400
160	76	398
161	76	395
162	76	393
163	76	390
164	76	388
165	76	385
166	76	383
167	76	381
168	77	378
169	77	376
170	77	374
171	77	372
172	77	370
173	77	367
174	77	365
175	77	363
176	77	361
177	77	359
178	77	357
179	78	355
180	78	353
181	78	351
182	78	349
183	78	347
184	78	345
185	78	343
186	78	341
187	78	339
188	78	337
189	78	336
190	78	334
191	79	332
192	79	330
193	79	329
194	79	327
195	79	326
196	79	324
197	79	323
198	80	322
199	80	320
200	80	319
201	80	317
202	80	316
203	80	314
204	80	313
205	80	311
206	81	310
207	81	309
208	81	307
209	81	306
210	81	305
211	81	303
212	81	302
213	81	301
214	82	299
215	82	298
216	82	297
217	82	296
218	82	294
219	82	293
220	82	292
221	83	291
222	83	289
223	83	288
224	83	287
225	83	286
226	83	285
227	83	283
228	83	282
229	84	281
230	84	280
231	84	279
232	84	278
233	84	276
234	84	275
235	84	274
236	84	273
237	85	272
238	85	271
239	85	270
240	85	269
241	85	268
242	85	267
243	85	266
244	86	265
245	86	264
246	86	263
247	86	262
248	86	260
249	86	260
250	86	258
251	86	258
252	87	257
253	87	256
254	87	255
255	87	254
256	87	253
257	87	252
258	87	251
259	87	250
260	88	249
261	88	248
262	88	247
263	88	246
264	88	245
265	88	245
266	88	244
267	89	243
268	89	242
269	89	241
270	89	240
271	89	239
272	89	239
273	89	238
274	89	237
275	90	236
276	90	235
277	90	234
278	90	233
279	90	233
280	90	232
281	90	231
282	90	230
283	91	229
284	91	228
285	91	227
286	91	227
287	91	226
288	91	225
289	91	224
290	91	223
291	92	223
292	92	222
293	92	221
294	92	220
295	92	220
296	92	219
297	92	218
298	93	219
299	93	218
300	93	217
301	93	217
302	94	216
303	94	215
304	94	214
305	94	214
306	94	213
307	94	212
308	94	211
309	94	211
310	95	210
311	95	209
312	95	209
313	95	208
314	95	207
315	95	207
316	95	206
317	95	205
318	95	204
319	96	204
320	96	203
321	96	202
322	96	202
323	96	201
324	96	200
325	96	200
326	96	199
327	96	198
328	97	197
329	97	197
330	97	196
331	97	195
332	97	195
333	97	194
334	97	193
335	97	193
336	97	192
337	98	192
338	98	191
339	98	190
340	98	190
341	98	189
342	98	188
343	99	189
344	99	188
345	99	188
346	99	187
347	99	187
348	100	186
349	100	185
350	100	185
351	100	184
352	100	184
353	100	183
354	100	182
355	100	182
356	100	181
357	100	181
358	101	180
359	101	179
360	101	179
361	101	178
362	101	178
363	101	177
364	101	177
365	101	176
366	102	175
367	102	175
368	102	174
369	102	174
370	102	173
371	102	173
372	102	172
373	102	172
374	102	171
375	103	170
376	103	170
377	103	169
378	103	169
379	103	168
380	103	168
381	103	167
382	103	167
383	103	166
384	103	166
385	104	165
386	104	165
387	104	164
388	104	163
389	104	163
390	104	162
391	104	162
392	104	161
393	104	161
394	105	160
395	105	160
396	105	159
397	105	159
398	105	158
399	105	158
400	105	157
401	105	157
402	105	156
403	105	156
404	106	155
405	106	155
406	106	154
407	106	154
408	106	153
409	106	153
410	106	152
411	106	152
412	106	152
413	107	151
414	107	151
415	107	150
416	107	150
417	107	149
418	107	149
419	107	148
420	107	148
421	107	147
422	108	147
423	108	146
424	108	146
425	108	146
426	108	145
427	108	145
428	108	144
429	108	144
430	108	143
431	109	143
432	109	142
433	109	142
434	109	142
435	109	141
436	109	141
437	109	140
438	109	140
439	109	139
440	109	139
441	110	138
442	110	138
443	110	138
444	110	137
445	110	137
446	110	136
447	110	136
448	110	135
449	110	135
450	110	135
451	111	134
452	111	134
453	111	133
454	111	133
455	111	133
456	111	132
457	111	132
458	111	131
459	111	131
460	111	130
461	112	130
462	112	130
463	112	129
464	112	129
465	112	128
466	112	128
467	112	128
468	112	127
469	112	127
470	112	126
471	113	126
472	113	126
473	113	125
474	113	125
475	113	124
476	113	124
477	113	124
478	113	123
479	113	123
480	114	123
481	114	122
482	114	122
483	114	121
484	114	121
485	114	121
486	114	120
487	114	120
488	114	119
489	114	119
490	115	119
491	115	118
492	115	118
493	115	118
494	115	117
495	115	117
496	115	117
497	115	116
498	115	116
499	115	115
500	116	115
501	116	115
502	116	114
503	116	114
504	116	114
505	116	113
506	116	113
507	116	113
508	116	112
509	116	112
510	116	111
511	117	111
512	117	111
513	117	110
514	117	110
515	117	110
516	117	109
517	117	109
518	117	109
519	117	108
520	117	108
521	117	108
522	118	107
523	118	107
524	118	106
525	118	106
526	118	106
527	118	105
528	118	105
529	118	105
530	118	104
531	118	104
532	118	104
533	119	103
534	119	103
535	119	103
536	119	102
537	119	102
538	119	102
539	119	101
540	119	101
541	119	101
542	120	101
543	120	100
544	120	100
545	120	100
546	120	99
547	120	99
548	120	99
549	120	98
550	120	98
551	120	98
552	120	97
553	120	97
554	121	97
555	121	96
556	121	96
557	121	96
558	121	95
559	121	95
560	121	95
561	121	94
562	121	94
563	121	94
564	121	93
565	122	93
566	122	93
567	122	92
568	122	92
569	122	92
570	122	92
571	122	91
572	122	91
573	122	91
574	122	90
575	122	90
576	123	90
577	123	89
578	123	89
579	123	89
580	123	88
581	123	88
582	123	88
583	123	88
584	123	87
585	123	87
586	123	87
