iter	Passed	Remaining
0	1	367
1	1	297
2	2	253
3	2	221
4	4	239
5	4	229
6	5	216
7	5	207
8	6	196
9	6	202
10	7	195
11	8	202
12	8	196
13	9	192
14	9	188
15	10	187
16	11	184
17	11	179
18	11	176
19	12	175
20	12	171
21	13	167
22	13	164
23	14	162
24	14	160
25	15	158
26	15	159
27	16	163
28	17	161
29	17	161
30	18	159
31	18	156
32	19	155
33	19	153
34	20	151
35	20	151
36	21	150
37	21	148
38	22	147
39	22	147
40	23	147
41	23	145
42	24	143
43	24	142
44	24	140
45	25	138
46	25	137
47	26	136
48	26	135
49	26	134
50	27	133
51	27	132
52	28	132
53	28	131
54	29	131
55	29	130
56	30	129
57	31	131
58	32	130
59	32	130
60	33	130
61	33	129
62	34	128
63	34	126
64	34	125
65	35	124
66	35	123
67	35	122
68	36	121
69	36	120
70	37	120
71	37	119
72	38	118
73	38	117
74	39	117
75	39	115
76	39	114
77	39	113
78	40	112
79	40	111
80	41	111
81	41	110
82	42	110
83	42	109
84	43	109
85	43	108
86	43	107
87	44	106
88	44	105
89	45	105
90	45	104
91	45	103
92	46	102
93	46	101
94	46	100
95	47	100
96	47	99
97	47	98
98	48	97
99	48	96
100	48	95
101	49	95
102	49	94
103	49	93
104	50	93
105	50	93
106	51	92
107	51	92
108	52	91
109	52	90
110	52	89
111	53	89
112	53	88
113	53	87
114	54	87
115	54	86
116	55	86
117	55	85
118	55	84
119	56	84
120	56	83
121	56	82
122	57	82
123	57	82
124	58	81
125	58	81
126	59	81
127	60	81
128	60	80
129	61	80
130	61	79
131	62	79
132	62	78
133	62	77
134	63	77
135	63	76
136	64	76
137	64	75
138	65	75
139	65	74
140	65	74
141	67	74
142	67	74
143	68	73
144	68	73
145	69	73
146	69	72
147	70	72
148	71	72
149	71	71
150	72	71
151	72	70
152	73	70
153	73	69
154	74	69
155	74	69
156	75	68
157	75	68
158	76	67
159	76	67
160	77	66
161	77	66
162	78	65
163	78	65
164	79	65
165	80	64
166	80	64
167	81	63
168	81	63
169	82	62
170	82	62
171	83	61
172	84	61
173	84	61
174	85	61
175	85	60
176	86	60
177	87	59
178	87	59
179	87	58
180	88	58
181	89	57
182	89	57
183	90	56
184	90	56
185	91	56
186	91	55
187	92	55
188	92	54
189	93	54
190	93	53
191	94	53
192	95	52
193	95	52
194	96	51
195	96	51
196	97	50
197	97	50
198	98	49
199	98	49
200	99	48
201	99	48
202	100	47
203	100	47
204	101	46
205	101	46
206	102	45
207	102	45
208	103	45
209	103	44
210	104	44
211	105	43
212	105	43
213	105	42
214	106	42
215	106	41
216	107	41
217	107	40
218	108	40
219	108	39
220	109	39
221	109	38
222	110	38
223	110	37
224	111	37
225	111	36
226	112	36
227	112	35
228	113	35
229	113	34
230	114	34
231	115	33
232	115	33
233	116	32
234	116	32
235	117	31
236	118	31
237	118	30
238	119	30
239	119	29
240	119	29
241	120	28
242	120	28
243	121	27
244	122	27
245	123	27
246	123	26
247	124	26
248	124	25
249	125	25
250	125	24
251	126	24
252	127	23
253	127	23
254	128	22
255	129	22
256	130	21
257	130	21
258	131	20
259	132	20
260	133	19
261	133	19
262	134	18
263	134	18
264	135	17
265	135	17
266	136	16
267	136	16
268	137	15
269	137	15
270	138	14
271	138	14
272	139	13
273	140	13
274	140	12
275	141	12
276	141	11
277	142	11
278	142	10
279	143	10
280	143	9
281	144	9
282	144	8
283	145	8
284	145	7
285	146	7
286	146	6
287	147	6
288	148	5
289	148	5
290	149	4
291	150	4
292	150	3
293	151	3
294	151	2
295	151	2
296	152	1
297	153	1
298	153	0
299	154	0
